nome,fonte,unidade,tipo_unidade,codigo_estado,estado,codigo_municipio,municipio,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101609,Theobroma,,,,,,,,,,,,,,,,,,,,0,0,1190,,0,,,157791,148122,137691,149239,1119,107935,480351,904842,282554,132046,153560,346221,390885,677280,1027180,678476,395469,726596,515293,1341273,1350836,732691,3132988,2001272
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101708,Urupá,,,,,,,,,,,,,,,,,,,,0,1466,0,,0,0,119495,277715,732539,211469,122562,,882640,529101,378782,566932,482850,652855,893673,397316,1825309,2012548,2559435,2167420,1494582,2433118,1681432,1388060,2274173,6098283,9777764
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101757,Vale do Anari,,,,,,,,,,,,,,,,,,,,,,,,0,,,6220,1285,155293,155293,1644,174302,259732,247758,862596,35941,603679,1257903,237427,9404,581951,353011,189025,363944,397684,875085,442074,274795,2455978,419844
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101807,Vale do Paraíso,,,,,,,,,,,,,,,,,,,,0,0,6700,,3320,,,408979,431025,224924,79201,91293,6258,157918,95215,4289,4949,196915,126371,934160,323063,160590,138521,771133,169492,591459,433369,382442,488909,858430,990246
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,12,Acre,1200013,Acrelândia,,,,,,,,,,,,,,,,,,,,390,403,87096,,193084,331269,82050,236141,335443,462075,347516,926829,,228384,343583,811780,855249,320098,887612,280612,,33867,440440,403775,241948,1196704,1247281,1026814,2034906,4065788,12440007
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,12,Acre,1200054,Assis Brasil,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,106105,79260,0,471912,6336,11753,341228,355992,260317,103655,120871,55550,223163,482810,493231,97133,37564,91495,146181,475227,892760,1949246,2916200,3059866,4135914
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,12,Acre,1200104,Brasiléia,,,,,,,,,,,,,,,,,1,0,1,16,45,78286,,10227,574073,345575,262523,306434,297491,620724,689305,378009,786093,733379,607556,2241828,335957,948482,1082495,553315,629718,549008,584888,800229,2046831,3625205,3430773,1541871,3824370,7825275
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,12,Acre,1200138,Bujari,,,,,,,,,,,,,,,,,,,,261,4833,11025,,131452,258634,101300,0,68216,103950,81049,90841,114185,167288,1149215,533928,435715,371169,1016750,329776,517894,583644,431955,199393,399708,648858,563707,768255,829174,5638913,2213220
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,12,Acre,1200179,Capixaba,,,,,,,,,,,,,,,,,,,,0,0,29821,,0,,,10101,152157,287902,53210,13560,227162,378155,247117,251020,546589,113597,113167,110283,188035,56673,35802,66633,253831,105720,239072,2119464,241835,637720,2831360
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,12,Acre,1200203,Cruzeiro do Sul,,,,,,,,,,,,,,,,,10,5,56,8721,15862,0,,115727,355313,2075801,250524,586165,965536,152245,,0,138237,159542,876180,227908,392520,1433579,2882516,711169,1241346,1069720,3620443,968777,6894508,20705279,2488089,13216730,6546025,21862913
